island,site,year,transect.length,photographer,analyze,teams,local.id,reeftype,Acanthastrea (ACAN),Acropora (ACROP),Acropora-arborescent (ACROPARB),Acropora-bottlebrush (ACROB),Acropora-stag (ACROST),Acropora-table (ACROTBL),Alveopora (ALVEO),Astreopora (ASTRP),Caulastrea (CAUL),Coscinaraea (COSC),Ctenactis (CTEN),Cyphastrea (CYPH),Diplioastrea (DIPLO),Echinopora (ECHPO),Echinphyllia (ECHPHY),Euphyllia (EUPH),Favia (FAV),Favites (FAVT),Fungia (FUNG),Galaxea (GAL),Gardineroseris (GARD),Goniastrea (GON),Goniopora (GONIO),Halomitra (HALO),Heliopora (HELIO),Herpolitha (HERP),Hydnophora (HYD),Isopora (ISOP),Leptastrea (LEPT),Leptoria (LEPTOR),Leptoseris (LEPTOS),Lobophyllia (LOBOPH),Merulina (MERU),Millepora (MILL),Montastrea (MONT),Montipora (MONTI),Mycedium (MYCED),Oulophyllia (OULO),Oxypora (OXYP),Pachyseris (PACHY),Pavona (PAV),Pectinia (PECT),Physogyra (PHYSO),Platygyra (PLAT),PLeisastrea (PLSIA),Plerogyra (PLERO),Pocillopora (POC),Porites (POR),Porites-cylindrica (PORCYL),Porites-lichen (PORLICH),Porites-massive (PORMAS),Porites-rus (PORRUS),Psammocora (PSAM),Sandalolitha (SANDO),Scapophyllia (SCAP),Seriatopora (SERIA),Stylocoeniella (STYLC),Stylohpora (STYLO),Symphyllia (SYMP),Turbinaraea (TURBIN),Anenome (ANEM),Ascidian (ASC),Cup Sponge (CUPS),Discosoma (DISCO),Dysidea Sponge (DYS),Gorgonians (G),Not Identified Invertebrate (NOIDINV),Olive Sponge (OLV),Soft Coral (SC),Sponges (S),Terpios Sponge (TERPS),Xenid (XEN),Zoanthids (Z),Asparagopsis (ASP),Bluegreen (BG),Boodlea (BOOD),Bryopsis (BRYP),Caulerpa (CLP),Chlorodesmis (CHLDES),Dictosphyrea (DYCTY),Dictyota (DICT),Galaxura (GLXU),Halimeda (HALI),Liagora (LIAG),Lobophora (LOBO),Mastophora (MAST),Microdictyton (MICDTY),Neomeris (NEOM),Not ID Macroalgae (NOIDMAC),Padina (PAD),Peyssonnelia (PEY),Sargassum (SARG),Schizothrix (SCHIZ),Tricleocarpa (TRIC),Turbinaria (TURB),Tydemania (TYDM),Amphiroa (AMP),Branching Coralline general (BCA1),Jania (JAN),Crustose Coralline (CCA1),Rubble (RBL),Sand (SAND),Fleshy-Coralline (FCA1),Brown Chysophyte (CHRYOBRN),Turf (TURF)
Kosrae,KOS-13,2011,50m,KCSO-ML/KVR-KA,UOGML/RC,PMRI-KIRMA-BMT-KCSO-KVR,Tafunsak,Inner,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666667,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,1.25,0,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0.833333333,0,0,9.583333333,4.166666667,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0.416666667,0,0,0,0,0,0,0,0.416666667,0,0,3.333333333,0,10.41666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,8.333333333,0,21.25,8.333333333,0,21.25
Kosrae,KOS-13,2011,50m,KCSO-ML/KVR-KA,UOGML/RC,PMRI-KIRMA-BMT-KCSO-KVR,Tafunsak,Inner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425531915,0,0,0,0,5.531914894,0,0,0.85106383,0,0,0,0,0,0,0,0,0.425531915,0.425531915,0,9.361702128,11.91489362,0,0,0,0,0,0,0,4.255319149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425531915,0,0,3.829787234,0,2.127659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425531915,0,17.87234043,0,8.510638298,11.4893617,0,22.12765957
Kosrae,KOS-13,2011,50m,KCSO-ML/KVR-KA,UOGML/RC,PMRI-KIRMA-BMT-KCSO-KVR,Tafunsak,Inner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545455,0,5,0.454545455,0,0,0,0.454545455,0,0,0.454545455,0,1.818181818,0,0,2.727272727,0,10,4.090909091,0,0,0,0,0,0,0,2.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.818181818,0,0,0.454545455,0,0,7.272727273,0,4.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.72727273,0,10.90909091,5.909090909,0,29.09090909
Kosrae,KOS-13,2011,50m,KCSO-ML/KVR-KA,UOGML/RC,PMRI-KIRMA-BMT-KCSO-KVR,Tafunsak,Inner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666667,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0.416666667,0,0,0,0,0,0,10.41666667,3.333333333,0,0,0,0,0,0,0,5.833333333,0,0,0,0,0,0,0,0,2.083333333,0,0,0,0,0,0,0,0,0,0,0,15.41666667,0,5.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,3.333333333,0,16.25,2.083333333,0,30.41666667
Kosrae,KOS-13,2011,50m,KCSO-ML/KVR-KA,UOGML/RC,PMRI-KIRMA-BMT-KCSO-KVR,Tafunsak,Inner,0,0.740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.185185185,0,0,0,0,0,0,0,0,4.444444444,0,0,0,0,0,0,0,0,0,0,0,0.740740741,2.962962963,0,24.44444444,1.481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740740741,0,0,0,0,0,8.888888889,0,2.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740740741,0,5.185185185,0,11.11111111,2.962962963,0,28.14814815
Kosrae,KOS-12,2011,50m,KCSO-ML/KVR-KA,UOGML/RC,PMRI-KIRMA-BMT-KCSO-KVR,Lelu Patch Reef,Inner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538461538,0,0,0,0,0,0,2.307692308,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769,0,0,3.076923077,0,0,0,0,17.69230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.30769231,0,0,20.76923077,0,21.53846154
Kosrae,KOS-12,2011,50m,KCSO-ML/KVR-KA,UOGML/RC,PMRI-KIRMA-BMT-KCSO-KVR,Lelu Patch Reef,Inner,0,3.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714,0,0,0,0.714285714,0,0,2.142857143,0,0,0,0,2.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857142857,0,0,1.428571429,0,0,0,0,17.14285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714,0,0,0,0,0,0,0,0,11.42857143,0,0,0,0,12.14285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.85714286,0,0,19.28571429,0,12.14285714
Kosrae,KOS-12,2011,50m,KCSO-ML/KVR-KA,UOGML/RC,PMRI-KIRMA-BMT-KCSO-KVR,Lelu Patch Reef,Inner,0,5.384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538461538,0,0,2.307692308,0,0,0,0,3.846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92307692,0,0,0,0,3.076923077,0,0.769230769,13.07692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538461538,0,0,0,0,0,0,0,0,10.76923077,0,0,0,0,11.53846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769,0,8.461538462,0,0,10,0,10
Kosrae,KOS-12,2011,50m,KCSO-ML/KVR-KA,UOGML/RC,PMRI-KIRMA-BMT-KCSO-KVR,Lelu Patch Reef,Inner,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.6,0,0,0,0,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,32.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,12,0,8.8
Kosrae,KOS-12,2011,50m,KCSO-ML/KVR-KA,UOGML/RC,PMRI-KIRMA-BMT-KCSO-KVR,Lelu Patch Reef,Inner,0,1.538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.384615385,0,0,0,0,0.769230769,0,0,26.92307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538461538,0,0,3.846153846,0,0,0,0,18.46153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,13.07692308,0,12.30769231
Kosrae,KOS-10,2011,50m,KCSO-ML/KVR-KA,UOGML/RC,PMRI-KIRMA-BMT-KCSO-KVR,Buoy-8,Outer,0,0.5,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,20,0,12
Kosrae,KOS-10,2011,50m,KCSO-ML/KVR-KA,UOGML/RC,PMRI-KIRMA-BMT-KCSO-KVR,Buoy-8,Outer,0,3,0,0,5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,3.5,0,0,0.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,28,0,0,23.5,0,15.5
Kosrae,KOS-10,2011,50m,KCSO-ML/KVR-KA,UOGML/RC,PMRI-KIRMA-BMT-KCSO-KVR,Buoy-8,Outer,0,1.5,0,0,9,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,6,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,12.5,0,10
Kosrae,KOS-10,2011,50m,KCSO-ML/KVR-KA,UOGML/RC,PMRI-KIRMA-BMT-KCSO-KVR,Buoy-8,Outer,0,1,0,0,0.5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0.5,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0.5,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,16.5,0,5
