geographic,Lon,Lat,dist_okat,dist_lelu,dist_utwe,dist_walung,pop_okat,pop_lelu,pop_utwe,pop_walung,grav_okat_pop,grav_lelu_pop,grav_utwe_pop,grav_walung_pop,tot_grav_pop
North,162.9914583,5.3727384,4.06,12.68,24.74,14.13,2067,4005,1518,216,125.3973647,24.90944282,2.480118209,1.081855924,153.8687816
Northwest Corner,162.9555931,5.3638079,2.79,17.63,22.45,9.60,2067,4005,1518,216,265.5412957,12.88539973,3.011889822,2.34375,283.7823353
Northwest,162.9456213,5.3396717,3.62,21.62,19.94,6.21,2067,4005,1518,216,157.7332804,8.568230499,3.817872876,5.601064202,175.720448
West,162.9296480,5.3232182,6.56,23.83,16.39,3.29,2067,4005,1518,216,48.03223528,7.052684167,5.650851108,19.95546974,80.69124029
Walung Point,162.8992894,5.2998547,10.84,27.03,11.23,1.63,2067,4005,1518,216,17.590651,5.481638973,12.03683366,81.29775302,116.4068767
Southeast Corner,163.0025899,5.2581381,24.03,8.56,4.57,16.08,2067,4005,1518,216,3.579587106,54.65815792,72.68409233,0.835375362,131.7572127
Southeast,163.0260891,5.2809592,19.37,8.56,9.05,20.71,2067,4005,1518,216,5.509107351,54.65815792,18.53423278,0.503609082,79.20510713
East,163.0372145,5.3084420,15.65,4.81,12.46,23.95,2067,4005,1518,216,8.439404301,173.1060983,9.777677009,0.376567396,191.699747
Northeast,163.0273804,5.345463003,10.96,6.14,17.48,22.13,2067,4005,1518,216,17.207563,106.2345489,4.968083825,0.441053145,128.8512489
Northeast Corner,163.0140018,5.3632520,8.23,8.24,20.13,18.27,2067,4005,1518,216,30.51692752,58.98588463,3.746141881,0.647107832,93.89606186
