"geographic" "Longitude" "Latitude" "energy"
"1" "East" 163.0372145 5.308442 2383.24283859
"2" "North" 162.9914583 5.3727384 2373.49132466
"3" "Northeast" 163.0273804 5.345463003 2378.03212817
"4" "Northeast Corner" 163.0140018 5.363252 2384.98292286
"5" "Northwest" 162.9456213 5.3396717 123.620620188
"6" "Northwest Corner" 162.9555931 5.3638079 968.349769951
"7" "Southeast" 163.0260891 5.2809592 2383.84813066
"8" "Southeast Corner" 163.0025899 5.2581381 2127.74355531
"9" "Walung Point" 162.8992894 5.2998547 162.346837745
"10" "West" 162.929648 5.3232182 125.893161298
