Site,geographic,local_name,reef_type,Y,X,Acanthurus blochii,Acanthurus guttatus,Acanthurus leucocheilus,Acanthurus lineatus,Acanthurus maculiceps,Acanthurus nigricans,Acanthurus nigricauda,Acanthurus nigroris,Acanthurus olivaceus,Acanthurus pyroferus,Acanthurus triostegus,Acanthurus xanthopterus,Aethaloperca rogaa,Aphareus furca,Aphareus Furca2,Aprion virescens,Balistapus undulatus,Balistoides viridescens,Bolbometopon muricatum,Caesio caerulaurea,Calotomus carolinus,Carangoides ferdau,Carangoides orthogrammus,Caranx lugubris,Caranx melampygus,Caranx sexfasciatus,Cephalopholis argus,Cephalopholis leopardus,Cephalopholis urodeta,Cetoscarus bicolor,Chaetodon lunulatus,Cheilinus digrammus,Cheilinus fasciatus,Cheilinus trilobatus,Cheilinus undulatus,Chlorurus bleekeri,Chlorurus frontalis,Chlorurus japanensis,Chlorurus microrhinos,Chlorurus sordidus,Chlorurus Sordidus3,Coris aygula,Ctenochaetus striatus,Ctenochaetus strigosus,Elagatis bipinnulata,Epibulus insidiator,Epinephelus hexagonatus,Epinephelus howlandi,Epinephelus merra,Epinephelus spilotoceps,Gnathodentex aureolineatus,Gomphosus varius,Gracila albomarginata,Gymnosarda unicolor,Hemigymnus fasciatus,Hemigymnus melapterus,Hipposcarus longiceps,Kyphosus cinerascens,Kyphosus vaigiensis,Lethrinus erythropterus,Lethrinus harak,Lethrinus obsoletus,Lethrinus olivaceus,Lethrinus xanthochilus,Lutjanus argentimaculatus,Lutjanus bohar,Lutjanus ehrenbergi,Lutjanus fulvus,Lutjanus gibbus,Lutjanus kasmira,Lutjanus monostigma,Lutjanus semicinctus,Macolor macularis,Macolor niger,Melichthys vidua,Monodactylus argenteus,Monotaxis grandoculis,Mulloidichthys flavolineatus,Mulloidichthys vanicolensis,Myripristis adusta,Myripristis berndti,Myripristis murdjan,Myripristis sp  Holocentridae ,Naso annulatus,Naso brevirostris,Naso caesius,Naso lituratus,Naso unicornis,Naso vlamingii,Neoniphon sammara,Neoniphon sp  Holocentridae ,Paracirrhites spp ,Parupeneus barberinoides,Parupeneus barberinus,Parupeneus bifasciatus,Parupeneus cyclostomus,Parupeneus indicus,Parupeneus insularis,Parupeneus multifasciatus,Pempheris oualensis,Platax teira,Plectorhinchus albovittatus,Plectorhinchus lineatus,Polydactylus sexfilis,Pseudobalistes flavimarginatus,Pygoplites diacanthus,Sargocentron sp,Sargocentron tiere,Scarus altipinnis,Scarus dimidiatus,Scarus festivus,Scarus flavipectoralis,Scarus forsteni,Scarus frenatus,Scarus ghobban,Scarus globiceps,Scarus niger,Scarus oviceps,Scarus psittacus,Scarus rivulatus,Scarus rubroviolaceus,Scarus schlegeli,Scarus sp,Scarus spinus,Scolopsis lineata,Scolopsis sp ,Scomberomorus commerson,Selar crumenophthalmus,Siganus argenteus,Siganus doliatus,Siganus puellus,Siganus punctatus,Siganus randalli,Siganus spinus,Sphyraena qenie,Variola louti,Zebrasoma scopas,Zebrasoma veliferum
KOS-01,Southeast Corner,Buoy-16,Outer,5.265350946,162.9805157,0,0,0,0,0,0,0.728387052,0,0,0,0,0,0,0.280085856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955730005,0,0.262367363,0.161836067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53710971,0,0,0.005401086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278083007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOS-01,Southeast Corner,Buoy-16,Outer,5.265350946,162.9805157,0,0,0,0.120122878,0,0.058891288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572132238,0,0,0,0,0,0,0.132442017,0,0,0,0,0,0,0,0,0.074948994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089032393,0,0,0,0,0,0,0.050114643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.192667094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOS-01,Southeast Corner,Buoy-16,Outer,5.265350946,162.9805157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509661889,0,0,0.6733892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.435294193,0,0,0,0,0,0.492251882,0,0,0,0,0,0,0,0,0,0.397814061,0,1.948298839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857987571,0,0,0,0,0,0.50199302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOS-01,Southeast Corner,Buoy-16,Outer,5.265350946,162.9805157,0,0,0,0,0,0.282881723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306241644,0,0,0.224846982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571843604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOS-01,Southeast Corner,Buoy-16,Outer,5.265350946,162.9805157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613882723,0,0,0,0,0,0,0,0,0.563613537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOS-01,Southeast Corner,Buoy-16,Outer,5.265350946,162.9805157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098935738,0,0,0.186968216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089032393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255663333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOS-01,Southeast Corner,Buoy-16,Outer,5.265350946,162.9805157,0,0,0,0,0,0.400879848,0.437609045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.085125374,0,0,0.329084526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.077676562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743223618,0.236485279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOS-01,Southeast Corner,Buoy-16,Outer,5.265350946,162.9805157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495159184,0,0,0,0,0,0,0,0,0,0,0,0,0.199375578,0,0,0,0,0,0,0.207390806,0,0,0,0,0,0.456975281,0,0,0,0,0,0,0,0,0,0,0.126222337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886421069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOS-01,Southeast Corner,Buoy-16,Outer,5.265350946,162.9805157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374571435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239122184,0,0,0.274658417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342469488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137025294,0,0,0,0,0,0,0,0,1.26244699,0,0,0,0,0,0,0,0,0,0,0,0
KOS-01,Southeast Corner,Buoy-16,Outer,5.265350946,162.9805157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94863796,0.516035919,0,0,0.41001806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070544279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399526089,0,0,0,1.25431429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
