site,longitude,latitude,dist_okat,time_okat,boats_okat,pop_okat,dist_lelu,time_lelu,boats_lelu,pop_lelu,dist_utwe,time_utwe,boats_utwe,pop_utwe,dist_walung,time_walung,boats_walung,pop_walung,grav_okat_pop,grav_lelu_pop,grav_utwe_pop,grav_walung_pop,tot_grav_pop,grav_okat_boat,grav_lelu_boat,grav_utwe_boat,grav_walung_boat,tot_grav_boat
KOS-01,162.9805157,5.265350946,22000,44,35,2067,14820,29.64,16,4005,1750,3.5,22,1518,13890,27.78,26,216,1.067665289,4.558753627,123.9183673,0.279891216,129.8246775,0.018078512,0.018212249,1.795918367,0.033690609,1.865899738
KOS-02,162.9351378,5.266485882,17130,34.26,35,2067,19910,39.82,16,4005,4880,9.76,22,1518,8830,17.66,26,216,1.761025965,2.525806107,15.93573636,0.692583838,20.91515227,0.029819017,0.010090611,0.230952701,0.083366573,0.354228902
KOS-03,162.9023588,5.28946583,12010,24.02,35,2067,24460,48.92,16,4005,9690,19.38,22,1518,4070,8.14,26,216,3.582568232,1.673515055,4.041701413,3.25990498,12.55768968,0.060662742,0.006685703,0.058575383,0.39239597,0.518319798
KOS-04,162.8979891,5.296150047,11470,22.94,35,2067,25680,51.36,16,4005,10690,21.38,22,1518,3550,7.1,26,216,3.927838742,1.518282164,3.320904371,4.284864114,13.05188939,0.066509122,0.006065547,0.048129049,0.51577068,0.636474398
KOS-05,162.9251359,5.320633362,6350,12.7,35,2067,23110,46.22,16,4005,15520,31.04,22,1518,1890,3.78,26,216,12.81542563,1.874746874,1.575536056,15.11715797,31.38286654,0.217000434,0.007489625,0.022833856,1.819657904,2.06698182
KOS-06,163.0375079,5.311155562,15310,30.62,35,2067,4510,9.02,16,4005,12060,24.12,22,1518,24340,48.68,26,216,2.204601527,49.2254217,2.609258847,0.091149148,54.13043123,0.037329973,0.196655867,0.037815346,0.010971657,0.282772842
KOS-07,162.9469886,5.35639957,3490,6.98,35,2067,18160,36.32,16,4005,20590,41.18,22,1518,7270,14.54,26,216,42.42576005,3.03606343,0.895156742,1.021703634,47.37868386,0.718384907,0.012129092,0.012973286,0.122982845,0.86647013
KOS-08,162.9483609,5.361430848,3490,6.98,35,2067,17710,35.42,16,4005,21110,42.22,22,1518,7880,15.76,26,216,42.42576005,3.192312561,0.851599335,0.869643639,47.33931559,0.718384907,0.012753309,0.012342019,0.104679327,0.848159561
KOS-09,162.9470447,5.353099874,3030,6.06,35,2067,18710,37.42,16,4005,20230,40.46,22,1518,7000,14,26,216,56.2853315,2.860190462,0.927299477,1.102040816,61.17486226,0.953065604,0.011426479,0.013439123,0.132653061,1.110584266
KOS-10,163.0289405,5.28504428,17940,35.88,35,2067,7720,15.44,16,4005,8810,17.62,22,1518,21000,42,26,216,1.605593524,16.79994765,4.889449483,0.12244898,23.41743964,0.027187118,0.067115896,0.070861587,0.014739229,0.17990383
