"geographic" "Axis.1" "Axis.2"
"1" "East" -0.184767657683294 0.305803399300936
"2" "North" -0.0584971779201948 -0.145156084944707
"3" "Northeast" -0.153721303103246 -0.182191957377205
"4" "Northeast Corner" -0.224001954423988 -0.0496859460830947
"5" "Northwest" 0.148370055137695 -0.0262205674889197
"6" "Northwest Corner" 0.145757984784778 -0.00816522742442488
"7" "South" 0.091320097797703 0.0586646237085164
"8" "Southeast" -0.0907616878264953 0.00105810603507089
"9" "Southeast Corner" 0.0715935385867244 -0.00781241909702141
"10" "Walung Point" 0.16850163436693 0.0561831373180695
"11" "West" 0.0862064702833879 -0.00247706394721974
