"Site_SPC_year","site","SPC_Rep","year","Observer","Lat","Lon","site_year","geographic","Acanthurus.blochii","Acanthurus.guttatus","Acanthurus.lineatus","Acanthurus.maculiceps","Acanthurus.nigricauda","Acanthurus.xanthopterus","Aphareus.furca","Caesio.caerulaurea","Calotomus.carolinus","Carangoides.ferdau","Carangoides.orthogrammus","Caranx.lugubris","Caranx.melampygus","Cephalopholis.argus","Cephalopholis.urodeta","Cheilinus.trilobatus","Cheilinus.undulatus","Chlorurus.bleekeri","Chlorurus.frontalis","Chlorurus.microrhinos","Chlorurus.sordidus","Ctenochaetus.striatus","Elagatis.bipinnulata","Epinephelus.hexagonatus","Epinephelus.howlandi","Epinephelus.spilotoceps","Hipposcarus.longiceps","Kyphosus.cinerascens","Kyphosus.vaigiensis","Lethrinus.harak","Lethrinus.olivaceus","Lethrinus.xanthochilus","Lutjanus.argentimaculatus","Lutjanus.bohar","Lutjanus.fulvus","Lutjanus.gibbus","Lutjanus.monostigma","Lutjanus.semicinctus","Macolor.macularis","Macolor.niger","Monotaxis.grandoculis","Mulloidichthys.vanicolensis","Myripristis.adusta","Myripristis.sp","Naso.lituratus","Naso.unicornis","Naso.vlamingii","Parupeneus.barberinus","Parupeneus.trifasciatus","Pempheris.oualensis","Sargocentron.tiere","Scarus.dimidiatus","Scarus.forsteni","Scarus.frenatus","Scarus.ghobban","Scarus.oviceps","Scarus.psittacus","Scarus.rivulatus","Scarus.rubroviolaceus","Selar.crumenophthalmus","Siganus.argenteus","Siganus.doliatus","Siganus.punctatus"
"KOS-01 1 2012","KOS-01",1,2012,"BMT",5.26535094625,162.980515678,"KOS-01 2012","Southeast Corner",0,0,0,0,0.728387051786986,0,0.280085855566575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955730004134633,0.161836067147675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537109709784104,0,0,0,0,0,0.27808300715423,0,0,0,0,0,0,0,0,0,0
"KOS-01 1 2015","KOS-01",1,2015,"MM",5.26535094625,162.980515678,"KOS-01 2015","Southeast Corner",0,0,0.120122878074111,0,0,0,0,0,0,0,0,0,0,0.572132238431009,0,0.132442016697174,0,0,0,0,0,0.0749489936774001,0,0,0,0,0,0,0.0890323931538561,0,0,0,0,0.0501146427949585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-01 1 2017","KOS-01",1,2017,"SM",5.26535094625,162.980515678,"KOS-01 2017","Southeast Corner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509661888596926,0.673389196261516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43529419312665,0,0,0,0.492251882348517,0,0,0,0.39781406122347,0,1.94829883809271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-01 1 2019","KOS-01",1,2019,"PH",5.26535094625,162.980515678,"KOS-01 2019","Southeast Corner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30624164396492,0.2248469810322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-01 10 2012","KOS-01",10,2012,"BMT",5.26535094625,162.980515678,"KOS-01 2012","Southeast Corner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613882723074966,0,0,0,0,0,0.56361353681527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-01 10 2015","KOS-01",10,2015,"MM",5.26535094625,162.980515678,"KOS-01 2015","Southeast Corner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0989357390994892,0.186968214539363,0,0,0,0,0,0,0.0890323931538561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-01 10 2017","KOS-01",10,2017,"SM",5.26535094625,162.980515678,"KOS-01 2017","Southeast Corner",0,0,0,0,0.437609044125197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08512537371976,0.32908452407951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07767656239226,0,0,0,0,0,0,0,0,0,0,0.23648527945273,0,0,0,0,0,0,0
"KOS-01 10 2019","KOS-01",10,2019,"PH",5.26535094625,162.980515678,"KOS-01 2019","Southeast Corner",0,0,0,0,0,0,0.495159184793212,0,0,0,0,0,0,0.199375578422629,0,0.207390806487806,0,0,0,0,0.456975282741985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886421068526199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-01 11 2012","KOS-01",11,2012,"BMT",5.26535094625,162.980515678,"KOS-01 2012","Southeast Corner",0,0,0,0,0,0,0,0,0.374571435002418,0,0,0,0,0,0,0,0,0,0,0,0.239122184304066,0.274658416667799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34246948787186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-01 11 2015","KOS-01",11,2015,"MM",5.26535094625,162.980515678,"KOS-01 2015","Southeast Corner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94863796080962,0.516035919050647,0.410018059048323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705442786211485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25431428975664,0,0,0,0
