"family" "functional_group" "species" "trophic_1" "trophic_2" "Diet"
"1" "Acanthuridae" "Large-bodied acanthurid" "Acanthurus blochii" "herbivore/detritivore" "herb" "Grazer"
"2" "Acanthuridae" "Small-bodied acanthurid" "Acanthurus guttatus" "herbivores" "herb" "Grazer"
"3" "Acanthuridae" "Small-bodied acanthurid" "Acanthurus lineatus" "herbivore/detritivore" "herb" "Grazer"
"4" "Acanthuridae" "Small-bodied acanthurid" "Acanthurus maculiceps" "herbivore/detritivore" "herb" "Grazer"
"5" "Acanthuridae" "Small-bodied acanthurid" "Acanthurus nigricauda" "herbivore/detritivore" "herb" "Grazer"
"6" "Acanthuridae" "Large-bodied acanthurid" "Acanthurus xanthopterus" "herbivore/detritivore" "herb" "Grazer"
"7" "Lutjanidae" "Small-bodied snapper" "Aphareus furca" "piscivores" "tertiary" "Piscivore"
"8" "Caesionidae" "Fusilier" "Caesio caerulaurea" "planktivores" "plank" "Planktivore"
"9" "Scaridae" "Small-bodied parrotfish" "Calotomus carolinus" "herbivore/detritivore" "herb" "Microphage"
"10" "Carangidae" "Trevally/Jack" "Caranx lugubris" "piscivores" "tertiary" "Piscivore"
"11" "Carangidae" "Trevally/Jack" "Caranx melampygus" "piscivores" "tertiary" "Piscivore"
"12" "Serranidae" "Large-bodied grouper" "Cephalopholis argus" "piscivores" "tertiary" "Piscivore"
"13" "Serranidae" "Small-bodied grouper" "Cephalopholis urodeta" "piscivores" "tertiary" "Piscivore"
"14" "Labridae" "Wrasse" "Cheilinus trilobatus" "benthic_inverts" "secondary" "Invertivore"
"15" "Labridae" "Cheilinus undulatus" "Cheilinus undulatus" "benthic_inverts" "secondary" "Invertivore"
"16" "Scaridae" "Small-bodied parrotfish" "Chlorurus bleekeri" "herbivore/detritivore" "herb" "Microphage"
"17" "Scaridae" "Large-bodied parrotfish" "Chlorurus frontalis" "herbivore/detritivore" "herb" "Microphage"
"18" "Scaridae" "Large-bodied parrotfish" "Chlorurus microrhinos" "herbivore/detritivore" "herb" "Microphage"
"19" "Scaridae" "Small-bodied parrotfish" "Chlorurus sordidus" "herbivore/detritivore" "herb" "Microphage"
"20" "Acanthuridae" "Small-bodied acanthurid" "Ctenochaetus striatus" "herbivore/detritivore" "herb" "Grazer"
"21" "Carangidae" "Large-bodied reef-pelagic" "Elagatis bipinnulata" "piscivores" "tertiary" "Piscivore"
"22" "Serranidae" "Small-bodied grouper" "Epinephelus hexagonatus" "piscivores" "tertiary" "Piscivore"
"23" "Serranidae" "Large-bodied grouper" "Epinephelus howlandi" "piscivores" "tertiary" "Piscivore"
"24" "Serranidae" "Small-bodied grouper" "Epinephelus spilotoceps" "piscivores" "tertiary" "Piscivore"
"25" "Carangidae" "Trevally/Jack" "Ferdauia ferdau" "piscivores" "tertiary" "Piscivore"
"26" "Carangidae" "Trevally/Jack" "Ferdauia orthogrammus" "piscivores" "tertiary" "Piscivore"
"27" "Scaridae" "Large-bodied parrotfish" "Hipposcarus longiceps" "herbivore/detritivore" "herb" "Microphage"
"28" "Kyphosidae" "Rudderfish" "Kyphosus cinerascens" "herbivore/detritivore" "herb" "Grazer"
"29" "Kyphosidae" "Rudderfish" "Kyphosus vaigiensis" "herbivore/detritivore" "herb" "Grazer"
"30" "Lethrinidae" "Small-bodied emperor" "Lethrinus harak" "benthic_inverts/piscivores" "secondary" "Invertivore"
"31" "Lethrinidae" "Large-bodied emperor" "Lethrinus olivaceus" "benthic_inverts/piscivores" "secondary" "Piscivore"
"32" "Lethrinidae" "Large-bodied emperor" "Lethrinus xanthochilus" "benthic_inverts/piscivores" "secondary" "Invertivore"
"33" "Lutjanidae" "Large-bodied snapper" "Lutjanus argentimaculatus" "benthic_inverts/piscivores" "secondary" "Piscivore"
"34" "Lutjanidae" "Large-bodied snapper" "Lutjanus bohar" "benthic_inverts/piscivores" "tertiary" "Piscivore"
"35" "Lutjanidae" "Small-bodied snapper" "Lutjanus fulvus" "benthic_inverts/piscivores" "secondary" "Piscivore"
"36" "Lutjanidae" "Large-bodied snapper" "Lutjanus gibbus" "benthic_inverts/piscivores" "secondary" "Piscivore"
"37" "Lutjanidae" "Large-bodied snapper" "Lutjanus monostigma" "benthic_inverts/piscivores" "secondary" "Piscivore"
"38" "Lutjanidae" "Small-bodied snapper" "Lutjanus semicinctus" "benthic_inverts/piscivores" "secondary" "Piscivore"
"39" "Lutjanidae" "Large-bodied snapper" "Macolor macularis" "benthic_inverts/piscivores" "secondary" "Invertivore"
"40" "Lutjanidae" "Large-bodied snapper" "Macolor niger" "benthic_inverts/piscivores" "secondary" "Invertivore"
"41" "Lethrinidae" "Large-bodied emperor" "Monotaxis grandoculis" "benthic_inverts" "secondary" "Invertivore"
"42" "Mullidae" "Goatfish" "Mulloidichthys vanicolensis" "benthic_inverts" "secondary" "Invertivore"
"43" "Holocentridae" "Squirl-Cardinal-Soldier" "Myripristis adusta" "benthic_inverts" "secondary" "Planktivore"
"44" "Holocentridae" "Squirl-Cardinal-Soldier" "Myripristis sp" "benthic_inverts" "secondary" "Planktivore"
"45" "Acanthuridae" "Naso lituratus" "Naso lituratus" "herbivore/detritivore" "herb" "Grazer"
"46" "Acanthuridae" "Naso unicornis" "Naso unicornis" "herbivore/detritivore" "herb" "Grazer"
"47" "Acanthuridae" "Naso other" "Naso vlamingii" "planktivores" "plank" "Omnivore"
"48" "Mullidae" "Goatfish" "Parupeneus barberinus" "benthic_inverts" "secondary" "Invertivore"
"49" NA "Goatfish" "Parupeneus trifasciatus" "benthic_inverts" "secondary" "Invertivore"
"50" "Pempheridae" "Squirl-Cardinal-Soldier" "Pempheris oualensis" "benthic_inverts" "secondary" "Invertivore"
"51" "Holocentridae" "Squirl-Cardinal-Soldier" "Sargocentron tiere" "benthic_inverts/piscivores" "secondary" "Invertivore"
"52" "Scaridae" "Small-bodied parrotfish" "Scarus dimidiatus" "herbivore/detritivore" "herb" "Microphage"
"53" "Scaridae" "Large-bodied parrotfish" "Scarus forsteni" "herbivore/detritivore" "herb" "Microphage"
"54" "Scaridae" "Small-bodied parrotfish" "Scarus frenatus" "herbivore/detritivore" "herb" "Microphage"
"55" "Scaridae" "Large-bodied parrotfish" "Scarus ghobban" "herbivore/detritivore" "herb" "Microphage"
"56" "Scaridae" "Small-bodied parrotfish" "Scarus oviceps" "herbivore/detritivore" "herb" "Microphage"
"57" "Scaridae" "Small-bodied parrotfish" "Scarus psittacus" "herbivore/detritivore" "herb" "Microphage"
"58" "Scaridae" "Small-bodied parrotfish" "Scarus rivulatus" "herbivore/detritivore" "herb" "Microphage"
"59" "Scaridae" "Large-bodied parrotfish" "Scarus rubroviolaceus" "herbivore/detritivore" "herb" "Microphage"
"60" "Carangidae" "Trevally/Jack" "Selar crumenophthalmus" "benthic_inverts" "secondary" "Piscivore"
"61" "Siganidae" "Rabbitfish" "Siganus argenteus" "herbivore/detritivore" "herb" "Grazer"
"62" "Siganidae" "Rabbitfish" "Siganus doliatus" "herbivore/detritivore" "herb" "Grazer"
"63" "Siganidae" "Rabbitfish" "Siganus punctatus" "herbivore/detritivore" "herb" "Grazer"
