"species" "functional_group" "trophic_1" "trophic_2" "family" "Diet"
"1" "Acanthurus blochii" "Large-bodied acanthurid" "herbivore/detritivore" "herb" "Acanthuridae" "Grazer"
"2" "Acanthurus guttatus" "Small-bodied acanthurid" "herbivores" "herb" "Acanthuridae" "Grazer"
"4" "Acanthurus lineatus" "Small-bodied acanthurid" "herbivore/detritivore" "herb" "Acanthuridae" "Grazer"
"5" "Acanthurus maculiceps" "Small-bodied acanthurid" "herbivore/detritivore" "herb" "Acanthuridae" "Grazer"
"7" "Acanthurus nigricauda" "Small-bodied acanthurid" "herbivore/detritivore" "herb" "Acanthuridae" "Grazer"
"13" "Acanthurus xanthopterus" "Large-bodied acanthurid" "herbivore/detritivore" "herb" "Acanthuridae" "Grazer"
"15" "Aphareus furca" "Small-bodied snapper" "piscivores" "tertiary" "Lutjanidae" "Piscivore"
"20" "Caesio caerulaurea" "Fusilier" "planktivores" "plank" "Caesionidae" "Planktivore"
"21" "Calotomus carolinus" "Small-bodied parrotfish" "herbivore/detritivore" "herb" "Scaridae" "Microphage"
"22" "Carangoides ferdau" "Trevally/Jack" "piscivores" "tertiary" "Carangidae" "Piscivore"
"23" "Carangoides orthogrammus" "Trevally/Jack" "piscivores" "tertiary" "Carangidae" "Piscivore"
"24" "Caranx lugubris" "Trevally/Jack" "piscivores" "tertiary" "Carangidae" "Piscivore"
"25" "Caranx melampygus" "Trevally/Jack" "piscivores" "tertiary" "Carangidae" "Piscivore"
"27" "Cephalopholis argus" "Large-bodied grouper" "piscivores" "tertiary" "Serranidae" "Piscivore"
"29" "Cephalopholis urodeta" "Small-bodied grouper" "piscivores" "tertiary" "Serranidae" "Piscivore"
"33" "Cheilinus trilobatus" "Wrasse" "benthic_inverts" "secondary" "Labridae" "Invertivore"
"34" "Cheilinus undulatus" "Cheilinus undulatus" "benthic_inverts" "secondary" "Labridae" "Invertivore"
"35" "Chlorurus bleekeri" "Small-bodied parrotfish" "herbivore/detritivore" "herb" "Scaridae" "Microphage"
"36" "Chlorurus frontalis" "Large-bodied parrotfish" "herbivore/detritivore" "herb" "Scaridae" "Microphage"
"38" "Chlorurus microrhinos" "Large-bodied parrotfish" "herbivore/detritivore" "herb" "Scaridae" "Microphage"
"39" "Chlorurus sordidus" "Small-bodied parrotfish" "herbivore/detritivore" "herb" "Scaridae" "Microphage"
"41" "Ctenochaetus striatus" "Small-bodied acanthurid" "herbivore/detritivore" "herb" "Acanthuridae" "Grazer"
"42" "Elagatis bipinnulata" "Large-bodied reef-pelagic" "piscivores" "tertiary" "Carangidae" "Piscivore"
"44" "Epinephelus hexagonatus" "Small-bodied grouper" "piscivores" "tertiary" "Serranidae" "Piscivore"
"45" "Epinephelus howlandi" "Large-bodied grouper" "piscivores" "tertiary" "Serranidae" "Piscivore"
"47" "Epinephelus spilotoceps" "Small-bodied grouper" "piscivores" "tertiary" "Serranidae" "Piscivore"
"54" "Hipposcarus longiceps" "Large-bodied parrotfish" "herbivore/detritivore" "herb" "Scaridae" "Microphage"
"55" "Kyphosus cinerascens" "Rudderfish" "herbivore/detritivore" "herb" "Kyphosidae" "Grazer"
"56" "Kyphosus vaigiensis" "Rudderfish" "herbivore/detritivore" "herb" "Kyphosidae" "Grazer"
"58" "Lethrinus harak" "Small-bodied emperor" "benthic_inverts/piscivores" "secondary" "Lethrinidae" "Invertivore"
"60" "Lethrinus olivaceus" "Large-bodied emperor" "benthic_inverts/piscivores" "secondary" "Lethrinidae" "Piscivore"
"61" "Lethrinus xanthochilus" "Large-bodied emperor" "benthic_inverts/piscivores" "secondary" "Lethrinidae" "Invertivore"
"62" "Lutjanus argentimaculatus" "Large-bodied snapper" "benthic_inverts/piscivores" "secondary" "Lutjanidae" "Piscivore"
"63" "Lutjanus bohar" "Large-bodied snapper" "benthic_inverts/piscivores" "tertiary" "Lutjanidae" "Piscivore"
"64" "Lutjanus fulvus" "Small-bodied snapper" "benthic_inverts/piscivores" "secondary" "Lutjanidae" "Piscivore"
"65" "Lutjanus gibbus" "Large-bodied snapper" "benthic_inverts/piscivores" "secondary" "Lutjanidae" "Piscivore"
"67" "Lutjanus monostigma" "Large-bodied snapper" "benthic_inverts/piscivores" "secondary" "Lutjanidae" "Piscivore"
"68" "Lutjanus semicinctus" "Small-bodied snapper" "benthic_inverts/piscivores" "secondary" "Lutjanidae" "Piscivore"
"69" "Macolor macularis" "Large-bodied snapper" "benthic_inverts/piscivores" "secondary" "Lutjanidae" "Invertivore"
"70" "Macolor niger" "Large-bodied snapper" "benthic_inverts/piscivores" "secondary" "Lutjanidae" "Invertivore"
"73" "Monotaxis grandoculis" "Large-bodied emperor" "benthic_inverts" "secondary" "Lethrinidae" "Invertivore"
"75" "Mulloidichthys vanicolensis" "Goatfish" "benthic_inverts" "secondary" "Mullidae" "Invertivore"
"76" "Myripristis adusta" "Squirl-Cardinal-Soldier" "benthic_inverts" "secondary" "Holocentridae" "Planktivore"
"83" "Naso lituratus" "Naso lituratus" "herbivore/detritivore" "herb" "Acanthuridae" "Grazer"
"84" "Naso unicornis" "Naso unicornis" "herbivore/detritivore" "herb" "Acanthuridae" "Grazer"
"85" "Naso vlamingii" "Naso other" "planktivores" "plank" "Acanthuridae" "Omnivore"
"89" "Parupeneus barberinus" "Goatfish" "benthic_inverts" "secondary" "Mullidae" "Invertivore"
"90" "Parupeneus trifasciatus" "Goatfish" "benthic_inverts" "secondary" NA "Invertivore"
"95" "Pempheris oualensis" "Squirl-Cardinal-Soldier" "benthic_inverts" "secondary" "Pempheridae" "Invertivore"
"103" "Sargocentron tiere" "Squirl-Cardinal-Soldier" "benthic_inverts/piscivores" "secondary" "Holocentridae" "Invertivore"
"105" "Scarus dimidiatus" "Small-bodied parrotfish" "herbivore/detritivore" "herb" "Scaridae" "Microphage"
"108" "Scarus forsteni" "Large-bodied parrotfish" "herbivore/detritivore" "herb" "Scaridae" "Microphage"
"109" "Scarus frenatus" "Small-bodied parrotfish" "herbivore/detritivore" "herb" "Scaridae" "Microphage"
"110" "Scarus ghobban" "Large-bodied parrotfish" "herbivore/detritivore" "herb" "Scaridae" "Microphage"
"113" "Scarus oviceps" "Small-bodied parrotfish" "herbivore/detritivore" "herb" "Scaridae" "Microphage"
"114" "Scarus psittacus" "Small-bodied parrotfish" "herbivore/detritivore" "herb" "Scaridae" "Microphage"
"115" "Scarus rivulatus" "Small-bodied parrotfish" "herbivore/detritivore" "herb" "Scaridae" "Microphage"
"116" "Scarus rubroviolaceus" "Large-bodied parrotfish" "herbivore/detritivore" "herb" "Scaridae" "Microphage"
"121" "Selar crumenophthalmus" "Trevally/Jack" "benthic_inverts" "secondary" "Carangidae" "Piscivore"
"122" "Siganus argenteus" "Rabbitfish" "herbivore/detritivore" "herb" "Siganidae" "Grazer"
"123" "Siganus doliatus" "Rabbitfish" "herbivore/detritivore" "herb" "Siganidae" "Grazer"
"125" "Siganus punctatus" "Rabbitfish" "herbivore/detritivore" "herb" "Siganidae" "Grazer"
