"site" "longitude" "latitude" "local_access" "nearest_port" "boats_nearest_port" "dist_okat" "boats_okat" "pop_okat" "dist_lelu" "boats_lelu" "pop_lelu" "dist_utwe" "boats_utwe" "pop_utwe" "dist_walung" "boats_walung" "pop_walung" "wave_energy" "access_1" "mean_access" "access_2" "total_gravity_pop" "nearest_gravity" "long" "lat" "wave_mean" "wave_wind_fetch" "wave_ww3_res" "pop2015_20km" "dist_market" "npp_mean" "npp_flag" "pop2015_5km" "reef_area_5km" "local_gravity"
"1" "KOS-01" 162.9805157 5.265350946 0.16 1750 22 22000 35 2067 14820 16 4005 1750 22 1518 13890 26 216 131.1206122 6.93857261907579e-08 1.73464315476895e-08 -4386687051.22107 0.000106498397320849 1.47323630265486e-06 162.9805157 5.265350946 0.051926361 1 2 6256 1514.646266 384.6270815 1 1393 7.5 11159.3006825188
"2" "KOS-02" 162.9351378 5.266485882 1.01 4880 22 17130 35 2067 19910 16 4005 4880 22 1518 8830 26 216 353.8540658 1.03507858089628e-08 2.58769645224071e-09 -4645975126.631 1.42549419535658e-05 1.57408241757893e-07 162.9351378 5.266485882 0.050981315 1 2 6256 1512.014253 386.0743499 1 832 7.5 138.97126470025
"3" "KOS-03" 162.9023588 5.28946583 1.15 4070 26 12010 35 2067 24460 16 4005 9690 22 1518 4070 26 216 153.8112429 1.58116205044927e-08 3.95290512612316e-09 -4295437649.56765 9.97487892889295e-06 3.11689681050591e-07 162.9023588 5.28946583 12.48289537 0 2 6256 1512.181803 401.7755025 0 144 10 21.6224402867364
"4" "KOS-04" 162.8979891 5.296150047 1.54 3550 26 11470 35 2067 25680 16 4005 10690 22 1518 3550 26 216 172.2790211 1.88804277444896e-08 4.72010693612239e-09 -4726382788.91439 1.01391314302223e-05 4.00667409870167e-07 162.8979891 5.296150047 12.35720288 0 2 6256 1512.542097 376.7964131 1 124 9.75 10.1542445878506
"5" "KOS-05" 162.9251359 5.320633362 0.98 1890 26 6350 35 2067 23110 16 4005 15520 22 1518 1890 26 216 122.1675815 6.46713784680802e-08 1.616784461702e-08 -3934834658.89 2.61230345374199e-05 1.51467955380963e-06 162.9251359 5.320633362 12.24127912 0 2 6256 1516.446254 376.7964131 2 270 12.75 58.5036060785616
"6" "KOS-06" 163.0375079 5.311155562 0.43 4510 16 15310 35 2067 4510 16 4005 12060 22 1518 24340 26 216 2382.913444 7.97236147755951e-09 1.99309036938988e-09 -7718655920.03445 2.78445885914019e-05 1.0115939567146e-07 163.0375079 5.311155562 12.36522236 0 2 6256 1522.339477 410.5632514 2 2655 10.25 1846.57495756041
"7" "KOS-07" 162.9469886 5.35639957 1.57 3490 35 3490 35 2067 18160 16 4005 20590 22 1518 7270 26 216 136.7340379 2.16372115270383e-08 5.40930288175958e-09 -4026725506.136 3.8534624297936e-05 5.84285805775765e-07 162.9469886 5.35639957 12.6955697 0 2 6256 1521.083061 376.8235492 1 930 12 76.7170314057868
"8" "KOS-08" 162.9483609 5.361430848 1.58 3490 35 3490 35 2067 17710 16 4005 21110 22 1518 7880 26 216 996.6538619 1.50104167917045e-08 3.75260419792613e-09 -5755170395.54908 2.74255786934918e-05 4.16189409209388e-07 162.9483609 5.361430848 12.6955697 0 2 6256 1521.633354 376.8235492 1 886 12 51.4035818444455
"9" "KOS-09" 162.9470447 5.353099874 1.57 3030 35 3030 35 2067 18710 16 4005 20230 22 1518 7000 26 216 129.8046133 2.76673250165742e-08 6.91683125414356e-09 -3977969588.57068 5.02872838173288e-05 7.83444028064634e-07 162.9470447 5.353099874 12.6955697 0 2 6256 1520.779472 376.8235492 1 942 12.5 78.537447977346
"10" "KOS-10" 163.0289405 5.28504428 0.36 7720 16 17940 35 2067 7720 16 4005 8810 22 1518 21000 26 216 2384.724409 4.50537453683517e-09 1.12634363420879e-09 -6999606794.71435 1.20447087066704e-05 3.45209137376278e-08 163.0289405 5.28504428 12.17723278 0 2 6256 1519.402813 393.9970273 1 2441 8.75 2421.9193581013
