"site" "reef_area_1km" "reef_area_2.5km" "reef_area_5km" "tot_grav_pop" "tot_grav_boat" "dist_port" "wave_energy"
"1" "KOS-01" 204182.347534949 2081199438.52971 15550093433.2055 129.8246775 1.865899738 1750 131.120612187
"2" "KOS-03" 283054.814837149 1236939281.47091 15393021500.7156 12.55768968 0.518319798 4070 153.811242871
"3" "KOS-04" 339667.755862618 1531448636.41461 14450591690.1495 13.05188939 0.636474398 3550 172.279021102
"4" "KOS-05" 667621.314819255 2846923762.10906 21518816250.9902 31.38286654 2.06698182 1890 122.167581466
"5" "KOS-06" 439758.846042813 1060233642.33526 12173052763.7449 54.13043123 0.282772842 4510 2382.91344357
"6" "KOS-07" 853702.531806755 2120467366.06651 17984703975.4024 47.37868386 0.86647013 3490 136.734037866
"7" "KOS-08" 918561.602282187 2061565377.65268 17670560460.3473 47.33931559 0.848159561 3490 996.653861898
"8" "KOS-09" 748389.261087564 2414976697.6715 18141775393.6861 61.17486226 1.110584266 3030 129.804613309
"9" "KOS-10" 351270.897304579 1688520247.78698 13743769197.2452 23.41743964 0.17990383 7720 2384.72440908
"10" "KOS-11" 634353.684141873 2729120044.02868 19633955966.3577 68.99602917 1.305571876 2850 120.544125661
"11" "KOS-16" 653080.235153353 2140101357.89612 18770062208.8181 67.34814114 1.099319647 2930 906.212110857
"12" "KOS-17" 405680.577497122 1904493856.31001 16649594933.5234 30.69808805 0.231975835 6560 2377.78807013
"13" "KOS-18" 830659.166761779 1335109090.08114 15393021469.4507 46.44509351 0.272220614 4970 2368.32371392
"14" "KOS-23" 262870.513885539 2100833422.22263 15707165022.4237 48.93411079 0.678360717 3000 606.151457945
"15" "KOS-25" 1144985.79053523 2238271143.06709 16335451478.9308 22.86109274 1.664073997 2070 225.213735097
